B_actual,B_predicted,B_residual,Cu_actual,Cu_predicted,Cu_residual,Zn_actual,Zn_predicted,Zn_residual,Fe_actual,Fe_predicted,Fe_residual,S_actual,S_predicted,S_residual,Mn_actual,Mn_predicted,Mn_residual
0.3,0.4837772,-0.18377719521522523,1.8,2.1315815,-0.3315815448760986,2.1,2.3042574,-0.2042573928833007,182.7,202.37666,-19.676663208007824,23.0378360623,26.90477,-3.866933835160939,80.5,91.045265,-10.545265197753906
1.2,1.0476769,0.15232307910919185,2.3,2.234258,0.06574206352233869,5.7,5.2576976,0.44230241775512713,134.1,162.49902,-28.399023437500006,13.4211122861,22.822058,-9.400945437899024,111.7,88.697556,23.002444458007815
0.8,0.7695664,0.030433583259582564,2.5,2.6751904,-0.17519044876098633,4.4,4.0099273,0.3900727272033695,233.5,223.22404,10.275955200195312,44.4551154564,28.732508,15.722607750711525,116.6,117.793465,-1.193464660644537
0.8,0.6974836,0.10251640081405644,2.1,2.0115356,0.08846435546875009,4.6,4.3525205,0.24747953414916957,167.1,172.9756,-5.875601196289068,12.3803226895,12.27006,0.11026310392871075,99.4,103.79412,-4.394120788574213
0.7000000000000001,0.6806735,0.019326519966125555,2.5,2.649528,-0.14952802658081055,3.9,4.0140452,-0.11404523849487314,235.9,264.13174,-28.23174438476562,21.151128235,23.632761,-2.4816327665869125,90.1,86.82954,3.270463562011713
0.7000000000000001,0.78761214,-0.08761214017868035,2.7,2.780417,-0.08041696548461896,3.4,4.331593,-0.9315930366516114,187.7,197.14206,-9.442059326171886,40.2637074428,40.531822,-0.26811476178984606,101.9,98.99029,2.909712219238287
1.1,1.1127933,-0.012793326377868564,2.6,2.4563568,0.1436432361602784,10.2,7.4271836,2.772816371917724,200.2,171.55545,28.644549560546864,28.5710731908,20.403856,8.16721691333418,128.3,96.87768,31.422322082519543
0.7000000000000001,0.7019346,-0.0019345760345458318,2.7,2.5428421,0.1571578502655031,3.3,3.5838602,-0.28386015892028826,225.4,218.05275,7.347250366210943,26.5118579013,26.970573,-0.4587155239929679,77.0,72.664185,4.3358154296875
1.0,0.9651091,0.03489089012145996,2.3,2.3837013,-0.0837013244628908,5.6,5.416569,0.18343076705932582,158.5,160.28758,-1.7875823974609375,28.7732953139,25.724777,3.048518092220313,78.2,86.046135,-7.846134948730466
0.8,0.7480385,0.051961529254913374,2.8,2.963362,-0.16336197853088397,3.4,3.3976252,0.0023747920989989346,177.7,187.12248,-9.422482299804699,21.5962616075,32.55714,-10.960878742841796,115.9,100.99565,14.904348754882818
1.2,1.1603477,0.0396522998809814,2.6,2.6374288,-0.037428760528564364,4.3,5.529843,-1.2298428535461428,186.2,191.25967,-5.059674072265636,18.7811968482,22.760607,-3.97940991754707,100.3,103.79808,-3.4980804443359403
1.2,1.1383294,0.06167061328887935,2.4,2.4391942,-0.03919420242309579,12.7,5.133546,7.566454124450683,179.7,165.06203,14.637973022460926,25.5158931605,23.668776,1.8471176020283195,75.1,81.7368,-6.636801147460943
1.0,1.1732932,-0.17329323291778564,3.1,2.8336606,0.26633939743042,4.8,5.1422544,-0.34225435256958026,183.0,189.67656,-6.6765594482421875,28.5845128619,32.77603,-4.191518632240626,85.4,95.463,-10.062997436523432
1.2,1.0968764,0.10312361717224117,2.1,2.3124866,-0.21248664855957022,3.3,6.272129,-2.972129058837891,142.9,147.59325,-4.693246459960932,25.0221208976,22.861944,2.1601766989916023,73.3,89.119255,-15.819255065917972
0.6000000000000001,0.70155376,-0.10155376195907584,2.5,2.4497118,0.05028820037841797,2.3,2.997922,-0.697921943664551,215.5,199.52298,15.977020263671875,33.7201256501,31.399961,2.3201641785423845,86.3,92.40598,-6.105982971191409
0.6000000000000001,0.6544856,-0.0544855833053588,2.8,2.7068145,0.09318547248840314,2.9,3.7345424,-0.8345423698425294,196.3,165.91347,30.38653259277345,26.4587924484,40.422146,-13.963353395105859,112.0,104.07865,7.921348571777344
